Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type","Custom Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Price","Variant Compare At Price","Image Src"
power-players-basic-figure-assortment-axel,"Power Players Basic Figure Assortment Axel","The Power Players bring the world of Action Figures to life! Join these toy-sized super heroes on their adventures as they save the world from Madcap and his malignant force of twisted toys!. The Power Players Super Feature figures bring all new life to the toys from the hit TV show! Packed with electronics and sound effects, it's really GAME ON! This assortment of 5"" figures are all highly articulated versions of the toys as seen in the hit TV show! Features From boy to toy Axel Mulligan is a mischievous optimistic and energetic 9-year-old kid. He loves adventure and he loves to play. Axel would spend every minute of every single day playing if he could. 5 Scale Action figures Highly articulated Includes Power sword and shield Big beefy and highly detailed figures to collect Include weapons and accessories 6 characters in Assortment",FGI,,,false,,,,,shopify,50,continue,61.50,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/1_9cc2763e-28fe-4c9e-9bf9-92b047e4f555_1080x1080_pad_ffffff.jpg.jpg?v=1645786400
chicos-country-cottage-house,"Chicos - Country Cottage House","We bring you Country Cottage House to be creative and learn by playing. The playhouse consists of a BBQ at the back, folding and open windows, a mailbox, and a cat hole so pets can also go visit the Country Cottage House. The house is made of very sturdy and long-lasting plastic, it is convenient to build and is appropriate for indoors and outdoors. Built from environmentally resistant plastic. Windows and gates can be opened. Features: Allows you to imagine and learn by playing. Made of very strong and durable plastic. Easy to build and suitable for indoors and outdoors. Made of environmentally resistant plastic. Windows and gates open. Suitable for children ages 2 to 5 years. Made in Spain",FGI,,,false,,,,,shopify,5,continue,750.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/1CountryCottageHouse_91aaa752-fa9e-4bbd-9e0a-9d062ae7dc34_1080x1080_pad_ffffff.jpg.jpg?v=1645786407
klein-bosch-water-kettle-red,"Klein Bosch Water Kettle - Red","Great design, modern shapes and attractive colours are the features that set the BOSCH Kitchen Series apart. The kettle is a faithful reproduction of the original. So that it's even more realistic, the kettle can be filled with water although it doesn't heat up. Key Features: Imitation toy for children - with realistic features With real water filling possibility and switch dummy Safe condition as no heating",FGI,,,false,,,,,shopify,20,continue,55.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Kettle2_2a4a48dc-d15c-4334-a3d1-d37a848685c1_1080x1080_pad_ffffff.jpg.jpg?v=1647677716
chicos-paw-patrol-play-house,"Chicos Paw Patrol Play House","Best children's house loaded with your favorite heroes from Paw Patrol. You can keep it in the garden as well as in your room. This is an amazing adventure with your friends! With this house, you will have your own space! The Paw Patrol playhouse is adorned with little one's favorite characters, with whom they play, learn, and live adventures every day. The playhouses help kids to define their own roles emulating their environment and reproduce and understand different roles. The playhouse can be used both indoors and outdoors because it is made of very resistant and strong plastic. It has an articulated door and window. Features: Children's house adorned with your favorite heroes from Paw Patrol Place it in the garden as well as inside the room A fantastic adventure with your friends With this house, you will have your own space Allows kids to establish their own roles emulating their environment and reproduce and understand different roles Made of a very resistant and strong plastic It has an articulated door and window",FGI,,,false,,,,,shopify,20,continue,765.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/3PawPatrolPlayHouse_29c3d22e-0805-4ccb-a050-197ba4bfc27b_1_1080x1080_pad_ffffff.jpg.jpg?v=1646215088
copy-of-cloud-slime-flo-mee-playset-horse-slime-4,"Disney Sandtastic Pixar Cars Sand Toy","Imagine children inspired by the simplicity of soft granular sand. Watch as they will dig, pile, sift, compact and more. These are all fundamental to the development of fine motor skills, intellect, visualization, and social conduct. Allergy-free, clean sand for indoor sand tables and sensory tables at preschools, child care centers, hospitals, and therapeutic offices. Sandtastik play sand can also be used for outdoor sandboxes, playgrounds and at home. Contains no quartz, no asbestos, no wheat, and no nuts. Key Features: Can be used at the beach or with kinetic sand Handy carry bag 100% safe play sand",FGI,,,false,,,,,shopify,50,continue,51.45,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Sandtasticcar_c8fe6b9e-bc5c-46e7-92ca-c878ae5a52c3_1080x1080_pad_ffffff.jpg.jpg?v=1650621676
bandzz-craze-hand-wrist-bands,"Bandzz Craze Hand Wrist Bands","36 different colourful original craze bandzz. In mega pack at an unbeatable price - premium craze quality guaranteed! Mega trend for children and adults. CRAZE BANDZZ! are made from 100 % silicone, so very skin and free from any plasticisers. And of course 100% recyclable. Can be used as a fashion bracelet or hair elastic! Available in over 100 different shapes and 20 themes - such a wide selection only at Craze - The BANDZZ! of course they always form back to their original state CRAZE plays with colours and effects - Glow-in-the-Dark Pastel Colours Neon Glitter bands Twist Colour Mix Colour The more sets you order, the larger the selection of shapes colours and features - Collect them all, trade with friends and have fun - the bands are a real eye-catcher",FGI,,,false,,,,,shopify,50,continue,9.45,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/26748_011_e8e2cbfe-1e08-4c03-adb6-7fd4a84c7c8e_1_1080x1080_pad_ffffff.jpg.jpg?v=1647938147
copy-of-cloud-slime-flo-mee-playset-horse-slime-2,"Disney Sandtastic Mickey Mouse Sand Toy","Full of fundamentals that help to develop fine motor skills, intellect and visualization Silica and BPA-free for safe use Suitable for indoor and outdoor play",FGI,,,false,,,,,shopify,50,continue,51.45,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/SandtasticMickey_6d019240-2224-4db4-bee9-c9b2e4e5137b_1080x1080_pad_ffffff.jpg.jpg?v=1650621599
copy-of-cloud-slime-flo-mee-playset-horse-slime-1,"Disney Sandtastic Minnie Mould Sand Toy","Imagine children inspired by the simplicity of soft granular sand. Watch as they will dig, pile, sift, compact and more. These are all fundamental to the development of fine motor skills, intellect, visualization and social conduct. in education - allergy free, clean sand for indoor sandtables and sensory tables at preschools, child care centres, hospitals and therapeutic offices. Sandtastik play sand can also be used for outdoor sandboxes, playgrounds and at home. 100% safe play sand - contains no quartz, no asbestos, no wheat and no nuts. Features 100% safe for kids No free silica Soft Molds when wet Sparkles No dust. Minnie Sandatastic Big cutter set with decorative accessories Key Features: Includes accessory set to complete the sand character Can be used at the beach or with kinetic sand Handy carry bag",FGI,,,false,,,,,shopify,50,continue,51.45,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/minnetoy1_5c466689-c7f7-488c-95e7-8cf35afb165c_1080x1080_pad_ffffff.jpg.jpg?v=1650621644
copy-of-cloud-slime-flo-mee-playset-horse-slime,"Disney Sandtastic Ariel Sand Toy","Safe, non-toxic, no free silica or quartz Sand has a natural sparkle Suitable for indoor sand tables and classrooms Also works well in outdoor sandboxes",FGI,,,false,,,,,shopify,50,continue,51.45,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/sandtasticariel_1image_f3d2027f-5b97-43f2-a351-56a2e965acf3_1080x1080_pad_ffffff.jpg.jpg?v=1650619384
protective-case-cover-for-nokia-3-1-clear,"Nokia Protective Case Cover For Nokia 3.1 Clear","Highlights Precise cuts closely accommodate the curves of the device, allowing access to all ports and buttons The sturdy construction protects your device from dust, scratches and sudden impact High quality materials ensures durability Specifications Brand Compatibility Nokia Colour Name Clear Model Number HPC-CCN37960",Limeconcepts,,,false,,,,,shopify,5,continue,15.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Nokia3.1_87bd9e52-270b-41ff-b6e4-63a397ef53bb_1080x1080_pad_ffffff.jpg.jpg?v=1645786433
3ply-surgical-medical-disposable-masks-50pcs-box,"3Ply Surgical Medical Disposable Masks 50pcs Box","The standard 3-Layer Surgical Masks is also known as a fluid-resistant surgical mask (FRSM). The mask is designed to provide a barrier to droplets which can adversely affect the wearer’s nose, mouth and respiratory tract. It fits fairly loosely to the user’s face in comparison to the KN95 mask. These single-use masks are used for a variety of procedures in community as well as hospital settings. They should be changed when they become moistened or damaged. 3-layer surgical masks should be worn with eye protection. Please Note : This Item Cannot be Exchanged","Sajid Gull",,,false,,,,,shopify,49,continue,15.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/surgical-2_df986d3a-e9b7-4c42-988f-df9ebeb96f60_1080x1080_pad_ffffff.jpg.jpg?v=1645786445
electric-disinfectant-spray-gun-for-indoor-outdoor-hygiene-4-5l,"Cordless Battery Powered Portable Disinfection Sprayer & Sterilizer for Indoor/Outdoor Hygiene - 5L","The portable battery spray fogger is a practical solution for public spaces, outdoor spaces, outdoor furniture and play equipment. Battery operated portable ULV Cold Fogging Machine For Use With Diluted Disinfectant. Portable Battery Spray Fogger Precise spraying of disinfectant Battery Powered 2000mah Rated voltage: 12v Charging time: ≥1 hour Battery life: ≥40 minutes Effective Range 1.5-2.0m Particle Size 50 microns (Adjustable) Atomization Volume: 142-145ml/min (Adjustable) Tank Capacity 5 L Gross Weight 2kgs CE Certified USB Charger 2.5kg Product Highlights:The sprayer handle is equipped with a power switch and a spray volume adjustment button, which can accurately adjust the size of the spray volume, which is very convenient to use. The barrel body is made of corrosion-resistant, high-temperature and low-temperature resistant materials, and can be filled with corrosive chemicals. Note: It needs to be cleaned immediately after use and washed with water By Using a fogging machine you can cover vast areas without missing any surfaces. The sanitizer lands wet (due to the particle size this machine will spray disinfectant wetter than the mains powered version ) and offers a full covering of disinfectant. Fogger Usage Mix your chosen disinfectant (Craftex Microkill) externally in a suitable container in accordance with the manufacturers label. Do not fill the ULV Cold Fogger Machine with more than 5 litres of diluted product at a time. Use suitable PPE Goggles, mask, gloves, and overalls. The particles will be able to get into hard to get areas, where traditional cleaning can't. After use rinse the tank and allow to dry before storing, allows store away from direct sunlight and areas below freezing. The product can be recharged, no need to connect to power! Important note: Please turn off the spray switch before turning off the power switch.","Faizal Zea Trading",,,false,,,,,shopify,10,continue,350.00,210.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/disinfection-sprayer_2fe7e1c6-e14b-44f6-a4db-958ff47ff763_1080x1080_pad_ffffff.jpg.jpg?v=1645786451
maintain-social-distancing-floor-sticker,"Maintain Social Distancing Floor Sticker 25cm","Size - 25cm x 25cm Price will be different for Bulk Orders",SpoilYourWall,,,false,,,,,shopify,50,continue,12.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/IMG_20200909_131404_ea5f345a-f404-4312-9cc8-4de79e3ca836_1080x1080_pad_ffffff.jpg.jpg?v=1645786589
please-keep-your-distance-floor-sticker-1,"Please Keep Your Distance Floor Sticker - 45cm","Size - 45cm x 45cm Price will be different for Bulk Orders",SpoilYourWall,,,false,,,,,shopify,50,continue,11.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/IMG_20200909_130721_7b1810d5-cf62-424a-ac13-2a3f8867a20a_1080x1080_pad_ffffff.jpg.jpg?v=1645786590
please-keep-your-distance-floor-sticker,"Please Keep Your Distance Floor Sticker - 25cm","Size - 25Cm x 25cm Price will be different for Bulk Orders",SpoilYourWall,,,false,,,,,shopify,50,continue,12.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/IMG_20200909_130721_9c90b0de-d4bd-4525-853f-ad48bcc21e54_1080x1080_pad_ffffff.jpg.jpg?v=1645786592
please-do-not-sit-here-floor-sticker,"Please Do Not Sit Here Floor Sticker - 25cm","Size - 25 cm x 25cm Price will be different for Bulk Orders",SpoilYourWall,,,false,,,,,shopify,50,continue,12.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/IMG_20200909_130601_4fa3c00e-38e9-46b0-b316-a15cd8341bad_1080x1080_pad_ffffff.jpg.jpg?v=1645786593
keep-distance-sticker,"Keep Distance Sticker","Size - 25cm x 25cm Price will be different for Bulk Orders",SpoilYourWall,,,false,,,,,shopify,50,continue,12.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/IMG_20200909_130205_e4ea83bd-246e-4c67-b209-5885e1b48213_1080x1080_pad_ffffff.jpg.jpg?v=1645786594
personalized-and-plain-2-layer-washable-and-reusable-face-mask-black-large,"Reusable Face Mask Black Washable 2 Layer Adult Size - Plain or Personalized","22cm * 12.5cm Size of the rings/band: 6.5"" Option to select with or without Elastic Option to select Personalized with or without Elastic Fabric: Interlock fabric (similar to tshirt fabric) Email your your personalized details on support@emarkiz.com If any queries, WhatsApp or Call on 0509414534 Please Note : This Item Cannot be Exchanged",Ajman,,,true,,,,,shopify,50,continue,10.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Plain2LayerWashableandReusableFaceMaskBlack_b978c2a2-a7bc-4f7a-8796-66ff9425e39b_1080x1080_pad_ffffff.jpg.jpg?v=1645786599
personalized-and-plain-2-layer-washable-and-reusable-face-mask-black-large,"Reusable Face Mask Black Washable 2 Layer Adult Size - Plain or Personalized","22cm * 12.5cm Size of the rings/band: 6.5"" Option to select with or without Elastic Option to select Personalized with or without Elastic Fabric: Interlock fabric (similar to tshirt fabric) Email your your personalized details on support@emarkiz.com If any queries, WhatsApp or Call on 0509414534 Please Note : This Item Cannot be Exchanged",Ajman,,,true,,,,,shopify,50,continue,10.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Plain2LayerWashableandReusableFaceMaskBlack_b978c2a2-a7bc-4f7a-8796-66ff9425e39b_1080x1080_pad_ffffff.jpg.jpg?v=1645786599
personalized-and-plain-2-layer-washable-and-reusable-face-mask-black-large,"Reusable Face Mask Black Washable 2 Layer Adult Size - Plain or Personalized","22cm * 12.5cm Size of the rings/band: 6.5"" Option to select with or without Elastic Option to select Personalized with or without Elastic Fabric: Interlock fabric (similar to tshirt fabric) Email your your personalized details on support@emarkiz.com If any queries, WhatsApp or Call on 0509414534 Please Note : This Item Cannot be Exchanged",Ajman,,,true,,,,,shopify,50,continue,20.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Personalizedmask_1881d534-8070-4425-8236-41fc4d066dcb_1080x1080_pad_ffffff.jpg.jpg?v=1645786599
personalized-and-plain-2-layer-washable-and-reusable-face-mask-black-large,"Reusable Face Mask Black Washable 2 Layer Adult Size - Plain or Personalized","22cm * 12.5cm Size of the rings/band: 6.5"" Option to select with or without Elastic Option to select Personalized with or without Elastic Fabric: Interlock fabric (similar to tshirt fabric) Email your your personalized details on support@emarkiz.com If any queries, WhatsApp or Call on 0509414534 Please Note : This Item Cannot be Exchanged",Ajman,,,true,,,,,shopify,50,continue,20.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Personalizedmask_1881d534-8070-4425-8236-41fc4d066dcb_1080x1080_pad_ffffff.jpg.jpg?v=1645786599
d-dart-refill-pack-of-30-suction-cup,"D-Dart Refill Pack Of 30 Suction Cup","The Refill Pack gives you 30 additional soft-sponged darts! The next generation of Dart blasters Single shot or fully automatic operation Each D-Dart blaster fires darts to unbelievable lengths away! D-Dart blaster is equipped with a high capacity drum that holds 28 darts!",FGI,,,false,,,,,shopify,50,continue,36.75,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/D-DartRefillPackOf30SuctionCup_6a0ece1d-4a4a-4285-8f4a-58038698c77b_1080x1080_pad_ffffff.jpg.jpg?v=1647249289
the-gemex-express-jewellery-making-set,"The Gemex Express Jewellery Making Set","Features: The Gemex Express Jewellery Making Set includes: 1 Liquid Magic Gel (15g) 1 Magic Mould 1 Mini Magic Light1 Gem Sachet 1 Instructions Sheet The gel dries in about 3 minutes and turns into gems! Creates up to 20 gems. Helps promote creativity and jewellery-designing skills. Requires 2 button cell batteries (included). Product Dimensions: 8.2cm x 15.5cm x 17.8cm Suitable for kids from ages 5 years and older. Foster your child’s creativity and budding passion for arts and crafts with the Gemex Express Jewellery Making Set",FGI,,,false,,,,,shopify,30,continue,51.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/gemex-HUN8954-3_1ac65f88-c980-4022-87cd-4d2ca924a345_1080x1080_pad_ffffff.jpg.jpg?v=1645786610
gemex-liquid-gem-refill-pack,"Gemex Liquid & Gem Refill Pack","Let your kids have a good time playing with Gemex - Liquid & Gem Refill Pack. Item is made of high quality materials. Perfect gift to young one and will surely provide endless hours of fun. The Gemex refill set has everything you need to create even more gems! Simply pour the Magic Liquid in to your mould, add cute decorations (fruits, flowers, pearls, glitter and more)! Each mould has a post which pierces a hole in the gem, allowing you to attach a loop and add it to a charm bracelet You can also add your gems to earrings, rings, hair clips, keychains and more! Each mould has between 6-7 different shapes allowing kids to create so many unique pieces of jewellery that they will want to wear! It's magic in minutes! Refill pack contains - 1 x Liquid Magic, Mould & Gems",FGI,,,false,,,,,shopify,30,continue,85.00,51.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/gemexliquidrefill_bf2ad1ab-b2a9-4817-8833-7b9f48978787_1_1080x1080_pad_ffffff.jpg.jpg?v=1647938924
gemex-unicorn-themed-set,"Gemex Express Unicorn Themed Jewellery Making Set","The Gemex Express Jewellery Making Set includes: 1 Liquid Magic Gel (15g) 1 Magic Mould 1 Mini Magic Light1 Gem Sachet 1 Instructions Sheet The gel dries in about 3 minutes and turns into gems! Creates up to 20 gems. Helps promote creativity and jewellery-designing skills. Requires 2 button cell batteries (included). Foster your childs creativity and budding passion for arts and crafts with the Gemex Express Jewellery Making Set",FGI,,,false,,,,,shopify,564,continue,135.00,93.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/GemexUnicornThemedSet_50c58129-feac-4e8d-9747-c866f600892d_1080x1080_pad_ffffff.jpg.jpg?v=1650622752
gemex-clam-shell-set,"Gemex Clam Shell Set","Gemes is magic right before your eyes! Simply decorate, shine and wear your Gemex creation in minuets! Gemex is a non-toxic magic formula Simply pour, decorate and place in the magic gem shell to cure Each completed accessory is one of a kind and totally unique, meaning you can decorate to your own taste and create something extra special The gel dries in about 3 minutes and turns into gems! Creates up to 50 gems Helps promote creativity and jewellery-designing skills Requires 4 AAA batteries (not included)",FGI,,,false,,,,,shopify,1165,continue,135.00,128.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/GemexClamShellSet_1bd447fb-ea5c-4254-b4a2-0b85561006be_1080x1080_pad_ffffff.jpg.jpg?v=1650622670
masks-extension-hook-5-pcs-black,"Masks Extension Hook 5 pcs - Black","Hook design-- A non-slip groove design is used to make the ear strap difficult to drop or move. Three adjustable levels-- 3 levels of adjustable non-slip ear hooks, suitable for most people, including children and adults. Safe Material -- Made of durable PC plastic material, non-toxic and durable. Non-slip and wear-resistant, comfortable to wear; easy to clean and can be washed repeatedly. Function-- Wearing this ear hook extender can help you release ear pressure and change the support position without rubbing your ears, thus reducing the ear pain caused by extending the ear line. Widely used -- Portable, small but practical, super easy and convenient to wear,Light and portable,easy to carry,dirt resistant,can be used repeatedly and for a long time. Applicable to most people who are engaged in different jobs, such as doctors, office work, and some special jobs, such as laboratory workers, medical staff, etc.","Giant Whale",,,false,,,,,shopify,48,continue,15.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/WhatsApp_Image_2020-09-06_at_4.54.01_PM-removebg-preview_9b4a7caa-59bb-4da2-a9a8-183cb3dd6153_1080x1080_pad_ffffff.png.jpg?v=1645786622
germoff-antibacterial-hand-sanitizer-5-litre-emarkiz-com,"GermOff Antibacterial Hand Sanitizer - 5 litre","Antibacterial Hand Sanitizer that kills 99.99% of germs instantly without water and soap!","Fulfilled by Emarkiz.com",,,false,,,,,shopify,20,continue,69.00,,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/germoff-hand-sanitizer_0a6b5395-f8b3-48d9-8ea3-63c0575181c5_1080x1080_pad_ffffff.jpg.jpg?v=1645786624
mask-ear-strap-adjustable-cartoon-hooks,"Mask Ear Strap Adjustable Cartoon Hooks","Material:The mask hook extender is made of durable silicon material which is soft and flexibility. Do not worry about hurting skin.👂 Compatible: Compatible with all kind of hanging ear masks on the market.👂Adjustable Ear Mask Hooks: The mask hook has 4 slots, you can adjust the length of the hooks basic on your requirment.👂Ear Protecter: The Face Mask Hook Could Reduce the pain and pressure of wearing a mask for a long time.","Power MEP LLC",,,false,Color,Green,,,shopify,5,continue,10.00,10.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Maskhookcartoon_b9bf37c0-f503-48e9-8e56-6f18c9454fad_1080x1080_pad_ffffff.png.jpg?v=1645786627
mask-ear-strap-adjustable-cartoon-hooks,"Mask Ear Strap Adjustable Cartoon Hooks","Material:The mask hook extender is made of durable silicon material which is soft and flexibility. Do not worry about hurting skin.👂 Compatible: Compatible with all kind of hanging ear masks on the market.👂Adjustable Ear Mask Hooks: The mask hook has 4 slots, you can adjust the length of the hooks basic on your requirment.👂Ear Protecter: The Face Mask Hook Could Reduce the pain and pressure of wearing a mask for a long time.","Power MEP LLC",,,false,Color,"Light Pink",,,shopify,5,continue,10.00,10.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Maskhookcartoon_b9bf37c0-f503-48e9-8e56-6f18c9454fad_1080x1080_pad_ffffff.png.jpg?v=1645786627
mask-ear-strap-adjustable-cartoon-hooks,"Mask Ear Strap Adjustable Cartoon Hooks","Material:The mask hook extender is made of durable silicon material which is soft and flexibility. Do not worry about hurting skin.👂 Compatible: Compatible with all kind of hanging ear masks on the market.👂Adjustable Ear Mask Hooks: The mask hook has 4 slots, you can adjust the length of the hooks basic on your requirment.👂Ear Protecter: The Face Mask Hook Could Reduce the pain and pressure of wearing a mask for a long time.","Power MEP LLC",,,false,Color,Orange,,,shopify,5,continue,10.00,10.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Maskhookcartoon_b9bf37c0-f503-48e9-8e56-6f18c9454fad_1080x1080_pad_ffffff.png.jpg?v=1645786627
mask-ear-strap-adjustable-cartoon-hooks,"Mask Ear Strap Adjustable Cartoon Hooks","Material:The mask hook extender is made of durable silicon material which is soft and flexibility. Do not worry about hurting skin.👂 Compatible: Compatible with all kind of hanging ear masks on the market.👂Adjustable Ear Mask Hooks: The mask hook has 4 slots, you can adjust the length of the hooks basic on your requirment.👂Ear Protecter: The Face Mask Hook Could Reduce the pain and pressure of wearing a mask for a long time.","Power MEP LLC",,,false,Color,Pink,,,shopify,5,continue,10.00,10.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Maskhookcartoon_b9bf37c0-f503-48e9-8e56-6f18c9454fad_1080x1080_pad_ffffff.png.jpg?v=1645786627
mask-ear-strap-adjustable-cartoon-hooks,"Mask Ear Strap Adjustable Cartoon Hooks","Material:The mask hook extender is made of durable silicon material which is soft and flexibility. Do not worry about hurting skin.👂 Compatible: Compatible with all kind of hanging ear masks on the market.👂Adjustable Ear Mask Hooks: The mask hook has 4 slots, you can adjust the length of the hooks basic on your requirment.👂Ear Protecter: The Face Mask Hook Could Reduce the pain and pressure of wearing a mask for a long time.","Power MEP LLC",,,false,Color,Black,,,shopify,5,continue,10.00,10.00,https://cdn.shopify.com/s/files/1/0631/5275/0813/products/Maskhookcartoon_b9bf37c0-f503-48e9-8e56-6f18c9454fad_1080x1080_pad_ffffff.png.jpg?v=1645786627
