Handle,Title,"Body (HTML)",Vendor,"Standardized Product Type","Custom Product Type",Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Price","Variant Compare At Price","Image Src"
libratone-q-adapt-lightning-in-ear-noise-cancelling-earbuds-earphones,"Libratone Q Adapt Lightning In-Ear Noise Cancelling Earbuds for Apple Devices","Description

Libratone Q Adapt In-Ear: because you decide how much of the world to let in. Q Adapt features Libratone’s Signature Sound Profile designed to provide a full range of crisp, clear, enhanced sound. The Q Adapt In-Ear offers 4 levels of CityMix Adjustable Noise Cancellation for your Lightning connected iOS device. Level 1: Keep the music playing while still letting in 80% of outside sound. Talk to people around you without removing your headphones. Level 2: Enjoy your music with maximum awareness and safety with 60% of outside sound, making them great for commuting. Level 3: Stay focused by blocking outside noise while still allowing people to get your attention when needed. It’s perfect for a busy office or studying in public. Level 4: Totally immerse yourself in sound by blocking 100% of outside noise whether traveling by plane or simply silencing your world. CityMix ANC allows you to enjoy music at any volume by activating the ANC to cancel outside noise, then play on. Because simplicity is everything, the four-button remote lets you access CityMix, activate the Hush function, Play, Pause, make and take calls, or crank up the volume. Unlike other noise-cancelling, in-ear headphones, Q Adapt draws power directly from your iOS device. The lightning-powered earbuds are more efficient, too – they won’t drain your battery, so you can use ANC for 50+ hours on an iPhone 6 Plus or 7. Libratone Q Adapt In-Ear headphones are compatible with iOS devices with a lightning port including iPhone 5, Phone 5C, iPhone 5S, iPhone 6/6 Plus, iPhone 6S/6S Plus, iPhone SE, iPhone 7/7 Plus, iPad (4th gen), iPad Air, iPad Air 2, iPad Pro (9.7' and 12.9' models) iPad Mini (1st gen), iPad Mini 2, iPad Mini 3, iPad Mini 4, iPod Nano (7th gen), iPod Touch (5th gen), and iPod Touch (6th gen). Libratone is proud to offer the best lightning headphones on the market, so we provide a 30-day money-back guarantee and we're here to help you with 24/7 US based customer support for all of our products.


4 LEVELS OF NOISE CONTROL – CityMix adjustable noise cancelling earphones means that you can choose how much of the outside world you want to let in. Keep the music level low or the world out – it’s up to you. Minimize background noise and maximize your audio. Customize and enhance your listening experience like never before with Libratone Q Adapt – Simply plug and go today. Connectivity Technology: Wired
LIGHTNING POWERED – Designed specifically for and powered by iOS devices, Libratone Q Adapt Earbuds have almost no impact on your phone’s battery life. Listen for up to 52 hours with no bulky battery packs.
PREMIUM SOUND QUALITY – Our signature sound profile features a balance of enhanced Deep Bass, Full Midrange, Clear Vocals and Crisp High Tones to ensure that all music sounds amazing.
THE POWER OF FOUR – Four buttons are all you need to control Q Adapt In Ear. Use the remote to increase and decrease volume, skip tracks, activate the “Hush” function, answer calls and activate and adjust Active Noise Cancellation. Q Adapt’s lightweight cord resists tangling and wire breakage..TAKE CALLS – Q Adapt’s built-in microphone helps quiet the outside world during phone calls and lets you take calls hands-free and noise free. Q Adapts super comfortable in-ear headphones are designed for prolonged usage with extra ear bud fittings and a carrying case.
Materials and finish- braided tangle-free cord. Interchangeable ear tips- Comes with three different sizes for a snug and seamless fit
From the AUTHORIZED DEALER.
WARRANTY if it's a defective piece.",Alphatech,"Apparel & Accessories > Clothing",Earphones,true,Color,"Cloudy White",,,shopify,0,continue,549.00,400.00,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/81Pq1674pZL._SL1500.jpg?v=1581689633
libratone-q-adapt-lightning-in-ear-noise-cancelling-earbuds-earphones,"Libratone Q Adapt Lightning In-Ear Noise Cancelling Earbuds for Apple Devices","Description

Libratone Q Adapt In-Ear: because you decide how much of the world to let in. Q Adapt features Libratone’s Signature Sound Profile designed to provide a full range of crisp, clear, enhanced sound. The Q Adapt In-Ear offers 4 levels of CityMix Adjustable Noise Cancellation for your Lightning connected iOS device. Level 1: Keep the music playing while still letting in 80% of outside sound. Talk to people around you without removing your headphones. Level 2: Enjoy your music with maximum awareness and safety with 60% of outside sound, making them great for commuting. Level 3: Stay focused by blocking outside noise while still allowing people to get your attention when needed. It’s perfect for a busy office or studying in public. Level 4: Totally immerse yourself in sound by blocking 100% of outside noise whether traveling by plane or simply silencing your world. CityMix ANC allows you to enjoy music at any volume by activating the ANC to cancel outside noise, then play on. Because simplicity is everything, the four-button remote lets you access CityMix, activate the Hush function, Play, Pause, make and take calls, or crank up the volume. Unlike other noise-cancelling, in-ear headphones, Q Adapt draws power directly from your iOS device. The lightning-powered earbuds are more efficient, too – they won’t drain your battery, so you can use ANC for 50+ hours on an iPhone 6 Plus or 7. Libratone Q Adapt In-Ear headphones are compatible with iOS devices with a lightning port including iPhone 5, Phone 5C, iPhone 5S, iPhone 6/6 Plus, iPhone 6S/6S Plus, iPhone SE, iPhone 7/7 Plus, iPad (4th gen), iPad Air, iPad Air 2, iPad Pro (9.7' and 12.9' models) iPad Mini (1st gen), iPad Mini 2, iPad Mini 3, iPad Mini 4, iPod Nano (7th gen), iPod Touch (5th gen), and iPod Touch (6th gen). Libratone is proud to offer the best lightning headphones on the market, so we provide a 30-day money-back guarantee and we're here to help you with 24/7 US based customer support for all of our products.


4 LEVELS OF NOISE CONTROL – CityMix adjustable noise cancelling earphones means that you can choose how much of the outside world you want to let in. Keep the music level low or the world out – it’s up to you. Minimize background noise and maximize your audio. Customize and enhance your listening experience like never before with Libratone Q Adapt – Simply plug and go today. Connectivity Technology: Wired
LIGHTNING POWERED – Designed specifically for and powered by iOS devices, Libratone Q Adapt Earbuds have almost no impact on your phone’s battery life. Listen for up to 52 hours with no bulky battery packs.
PREMIUM SOUND QUALITY – Our signature sound profile features a balance of enhanced Deep Bass, Full Midrange, Clear Vocals and Crisp High Tones to ensure that all music sounds amazing.
THE POWER OF FOUR – Four buttons are all you need to control Q Adapt In Ear. Use the remote to increase and decrease volume, skip tracks, activate the “Hush” function, answer calls and activate and adjust Active Noise Cancellation. Q Adapt’s lightweight cord resists tangling and wire breakage..TAKE CALLS – Q Adapt’s built-in microphone helps quiet the outside world during phone calls and lets you take calls hands-free and noise free. Q Adapts super comfortable in-ear headphones are designed for prolonged usage with extra ear bud fittings and a carrying case.
Materials and finish- braided tangle-free cord. Interchangeable ear tips- Comes with three different sizes for a snug and seamless fit
From the AUTHORIZED DEALER.
WARRANTY if it's a defective piece.",Alphatech,"Apparel & Accessories > Clothing",Earphones,true,Color,"Stormy Black",,,shopify,0,continue,549.00,390.00,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/81GVZVlNIoL._SL1500.jpg?v=1581689331
libratone-q-adapt-lightning-in-ear-noise-cancelling-earbuds-earphones,"Libratone Q Adapt Lightning In-Ear Noise Cancelling Earbuds for Apple Devices","Description

Libratone Q Adapt In-Ear: because you decide how much of the world to let in. Q Adapt features Libratone’s Signature Sound Profile designed to provide a full range of crisp, clear, enhanced sound. The Q Adapt In-Ear offers 4 levels of CityMix Adjustable Noise Cancellation for your Lightning connected iOS device. Level 1: Keep the music playing while still letting in 80% of outside sound. Talk to people around you without removing your headphones. Level 2: Enjoy your music with maximum awareness and safety with 60% of outside sound, making them great for commuting. Level 3: Stay focused by blocking outside noise while still allowing people to get your attention when needed. It’s perfect for a busy office or studying in public. Level 4: Totally immerse yourself in sound by blocking 100% of outside noise whether traveling by plane or simply silencing your world. CityMix ANC allows you to enjoy music at any volume by activating the ANC to cancel outside noise, then play on. Because simplicity is everything, the four-button remote lets you access CityMix, activate the Hush function, Play, Pause, make and take calls, or crank up the volume. Unlike other noise-cancelling, in-ear headphones, Q Adapt draws power directly from your iOS device. The lightning-powered earbuds are more efficient, too – they won’t drain your battery, so you can use ANC for 50+ hours on an iPhone 6 Plus or 7. Libratone Q Adapt In-Ear headphones are compatible with iOS devices with a lightning port including iPhone 5, Phone 5C, iPhone 5S, iPhone 6/6 Plus, iPhone 6S/6S Plus, iPhone SE, iPhone 7/7 Plus, iPad (4th gen), iPad Air, iPad Air 2, iPad Pro (9.7' and 12.9' models) iPad Mini (1st gen), iPad Mini 2, iPad Mini 3, iPad Mini 4, iPod Nano (7th gen), iPod Touch (5th gen), and iPod Touch (6th gen). Libratone is proud to offer the best lightning headphones on the market, so we provide a 30-day money-back guarantee and we're here to help you with 24/7 US based customer support for all of our products.


4 LEVELS OF NOISE CONTROL – CityMix adjustable noise cancelling earphones means that you can choose how much of the outside world you want to let in. Keep the music level low or the world out – it’s up to you. Minimize background noise and maximize your audio. Customize and enhance your listening experience like never before with Libratone Q Adapt – Simply plug and go today. Connectivity Technology: Wired
LIGHTNING POWERED – Designed specifically for and powered by iOS devices, Libratone Q Adapt Earbuds have almost no impact on your phone’s battery life. Listen for up to 52 hours with no bulky battery packs.
PREMIUM SOUND QUALITY – Our signature sound profile features a balance of enhanced Deep Bass, Full Midrange, Clear Vocals and Crisp High Tones to ensure that all music sounds amazing.
THE POWER OF FOUR – Four buttons are all you need to control Q Adapt In Ear. Use the remote to increase and decrease volume, skip tracks, activate the “Hush” function, answer calls and activate and adjust Active Noise Cancellation. Q Adapt’s lightweight cord resists tangling and wire breakage..TAKE CALLS – Q Adapt’s built-in microphone helps quiet the outside world during phone calls and lets you take calls hands-free and noise free. Q Adapts super comfortable in-ear headphones are designed for prolonged usage with extra ear bud fittings and a carrying case.
Materials and finish- braided tangle-free cord. Interchangeable ear tips- Comes with three different sizes for a snug and seamless fit
From the AUTHORIZED DEALER.
WARRANTY if it's a defective piece.",Alphatech,"Apparel & Accessories > Clothing",Earphones,true,Color,"Rose Pink",,,shopify,0,continue,549.00,420.00,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/81ILZLhU_6L._SL1500.jpg?v=1581691492
libratone-q-adapt-lightning-in-ear-noise-cancelling-earbuds-earphones,"Libratone Q Adapt Lightning In-Ear Noise Cancelling Earbuds for Apple Devices","Description

Libratone Q Adapt In-Ear: because you decide how much of the world to let in. Q Adapt features Libratone’s Signature Sound Profile designed to provide a full range of crisp, clear, enhanced sound. The Q Adapt In-Ear offers 4 levels of CityMix Adjustable Noise Cancellation for your Lightning connected iOS device. Level 1: Keep the music playing while still letting in 80% of outside sound. Talk to people around you without removing your headphones. Level 2: Enjoy your music with maximum awareness and safety with 60% of outside sound, making them great for commuting. Level 3: Stay focused by blocking outside noise while still allowing people to get your attention when needed. It’s perfect for a busy office or studying in public. Level 4: Totally immerse yourself in sound by blocking 100% of outside noise whether traveling by plane or simply silencing your world. CityMix ANC allows you to enjoy music at any volume by activating the ANC to cancel outside noise, then play on. Because simplicity is everything, the four-button remote lets you access CityMix, activate the Hush function, Play, Pause, make and take calls, or crank up the volume. Unlike other noise-cancelling, in-ear headphones, Q Adapt draws power directly from your iOS device. The lightning-powered earbuds are more efficient, too – they won’t drain your battery, so you can use ANC for 50+ hours on an iPhone 6 Plus or 7. Libratone Q Adapt In-Ear headphones are compatible with iOS devices with a lightning port including iPhone 5, Phone 5C, iPhone 5S, iPhone 6/6 Plus, iPhone 6S/6S Plus, iPhone SE, iPhone 7/7 Plus, iPad (4th gen), iPad Air, iPad Air 2, iPad Pro (9.7' and 12.9' models) iPad Mini (1st gen), iPad Mini 2, iPad Mini 3, iPad Mini 4, iPod Nano (7th gen), iPod Touch (5th gen), and iPod Touch (6th gen). Libratone is proud to offer the best lightning headphones on the market, so we provide a 30-day money-back guarantee and we're here to help you with 24/7 US based customer support for all of our products.


4 LEVELS OF NOISE CONTROL – CityMix adjustable noise cancelling earphones means that you can choose how much of the outside world you want to let in. Keep the music level low or the world out – it’s up to you. Minimize background noise and maximize your audio. Customize and enhance your listening experience like never before with Libratone Q Adapt – Simply plug and go today. Connectivity Technology: Wired
LIGHTNING POWERED – Designed specifically for and powered by iOS devices, Libratone Q Adapt Earbuds have almost no impact on your phone’s battery life. Listen for up to 52 hours with no bulky battery packs.
PREMIUM SOUND QUALITY – Our signature sound profile features a balance of enhanced Deep Bass, Full Midrange, Clear Vocals and Crisp High Tones to ensure that all music sounds amazing.
THE POWER OF FOUR – Four buttons are all you need to control Q Adapt In Ear. Use the remote to increase and decrease volume, skip tracks, activate the “Hush” function, answer calls and activate and adjust Active Noise Cancellation. Q Adapt’s lightweight cord resists tangling and wire breakage..TAKE CALLS – Q Adapt’s built-in microphone helps quiet the outside world during phone calls and lets you take calls hands-free and noise free. Q Adapts super comfortable in-ear headphones are designed for prolonged usage with extra ear bud fittings and a carrying case.
Materials and finish- braided tangle-free cord. Interchangeable ear tips- Comes with three different sizes for a snug and seamless fit
From the AUTHORIZED DEALER.
WARRANTY if it's a defective piece.",Alphatech,"Apparel & Accessories > Clothing",Earphones,true,Color,"Elegant Nude",,,shopify,0,continue,549.00,420.00,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/81mNUKfPIKL._SL1500.jpg?v=1581689744
trudeau-decorating-pen,"Trudeau Decorating Pen","Description
At Trudeau Corporation we are proud to be recognised as a leader in the design and development of kitchenware and housewares products. Since 1889, four successive generations have managed Trudeau Corporation, instilling the values of family and tradition into our corporate culture. We owe our success to the efforts of an experienced and dedicated team, to the creative input of talented design partners and to the expertise of our carefully chosen manufacturers.


With stand for clean storage
Fine line perfect for decoration
Material: Silicone, Plastic",Emsons/Spartan,"Apparel & Accessories > Clothing",Bakeware,true,,,,,shopify,50,continue,29.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/81wn5BKCZZL._SL1500.jpg?v=1581689822
trudeau-st-4-ramekins,"Trudeau ST/4 Ramekins","Description

Trudeau has reinvented the ramekin. Made of silicone, it is BPA free, non-stick and easy to clean. It is heat resistant up to 428 DegreeF/220 DegreeC and even goes in the microwave. Use this set of 4 to bake souffles and cremes brûlée or to serve appetisers, sauces, dips and more.


Made of easy to clean, non-stick silicone. Fuchsia, Grey, mint and Coral.
Ramekins are BPA free
Heat resistant up to 428 DegreeF/220 DegreeC
Perfect for souffles, cremes Brulee, appetizers, sauces, dips and more
Oven safe, microwave safe and dishwasher safe
Lifetime warranty",Emsons/Spartan,"Apparel & Accessories > Clothing",Bakeware,true,,,,,shopify,0,continue,39.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/31B3dDjRTrL.jpg?v=1581543552
trudeau-12-muffin-pan-euro,"Trudeau 12 Muffin Pan Euro","Description






Baking treats is a unique way of creating joyful memories for your family and friends. Our muffin pan is so easy to use, all you need to do is butter it, bake it and pop it out! start baking worry-free-the pan is heat resistant up to 428 DegreeF (220 DegreeC)! part of our proudly canadian-designed baking tools, it features reinforced steel rims for secure handling. Baking recipes for the kids is always better with a non- stick and flexible tool which releases evenly cooked goodies every time. Discover perfection, right out of the oven! this handy muffin pan is also microwave and freezer safe, whether you'd like to enjoy your treats now or later. Once you're done, just pop it in the dishwasher!











Silicone bakeware with integrated steel structure for safe handling
Perfect browning and easy release
Muffin pan is BPA free
Oven, microwave and freezer safe
Easy to clean and dishwasher safe
Original Trudeau design, Lifetime warranty",Emsons/Spartan,"Apparel & Accessories > Clothing",Bakeware,true,,,,,shopify,0,continue,135.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/71Gskx1sgdL._SL1500.jpg?v=1581689996
trudeau-12-count-muffin-pan-fuschsia,"Trudeau 12 Count Muffin Pan Fuchsia","Description


Integrated steel structure
Easy release
Lifetime warranty
Colour: Grey, Purple
Material: Silicone
Dimension/capacity: 12",Emsons/Spartan,"Apparel & Accessories > Clothing",Bakeware,true,,,,,shopify,50,continue,135.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/Screen_Shot_2018-07-10_at_4.52.31_PM.png?v=1581690690
trudeau-pie-pan,"Trudeau Pie Pan","Description

Pies, Meat Pies, Quiches, Frittatas. Here is the Pie Pan for all your recipes. Made of silicone and including a steel structure, it is flexible and secure during handling. To cook your pie, it goes in the oven or the microwave. It is also freezer and dishwasher safe. We even added a pie server for easy service.


Colour: Grey, Purple
Material: Silicone
Dimension/capacity: 9 1/4' dia.",Emsons/Spartan,"Apparel & Accessories > Clothing",Bakeware,true,,,,,shopify,30,continue,135.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/Screen_Shot_2018-07-11_at_12.59.42_PM.png?v=1581694688
trudeau-loaf-pan-euro,"Trudeau Loaf Pan Euro","Description

Create the perfect loaf with Trudeau special pan. The reinforced steel structure allows secure handling and ensures your loaf comes out in one whole piece with the silicone's flexibility and non-stick properties. Only thing left to do is wrap it up and give it to a special someone. Heat resistant up to 428 DegreeF /220 DegreeC and is freezer, microwave and dishwasher safe.


Silicone bakeware with integrated steel structure for safe handling, 8 1/2 x 4 1/2 inches
Perfect browning and easy release
Loaf pan is BPA free
Oven, microwave and freezer safe
Easy to clean and dishwasher safe
Original Trudeau design, Lifetime warranty",Emsons/Spartan,"Apparel & Accessories > Clothing",Bakeware,true,,,,,shopify,0,continue,99.00,,https://cdn.shopify.com/s/files/1/0076/7167/6986/products/81KrTV7isrL._SL1500.jpg?v=1581694751
